soil,temp,hum,Status
54,19.52,55.04,1
12,19.49,55.17,0
34,19.47,55.3,1
7,19.54,54.2,0
50,19.61,53.09,0
4,19.67,51.91,1
15,19.74,50.72,1
45,19.8,49.54,1
47,19.91,47.7,0
19,20.02,45.86,1
63,20.1,44.76,1
88,20.19,43.67,1
39,20.3,42.56,1
65,20.41,41.44,0
50,20.41,41.58,1
39,20.41,41.71,1
18,20.61,40.34,1
66,20.81,38.96,1
68,20.93,37.33,1
20,21.06,35.69,1
40,21.18,34.06,1
2,21.3,32.42,0
22,21.35,31.07,0
1,21.4,29.72,1
5,21.44,28.38,1
10,21.49,27.03,1
25,21.56,26.62,1
20,21.62,26.22,1
40,21.66,25.72,0
26,21.69,25.21,1
71,21.48,25.8,0
37,21.28,26.39,1
76,21.3,25.53,0
44,21.32,24.67,1
24,21.28,24.32,0
70,21.24,23.96,0
32,21.2,23.81,0
44,21.16,23.66,1
4,21.13,23.5,1
63,21.09,23.35,1
49,21.1,23.09,1
26,21.11,22.84,1
58,21.12,22.58,0
45,21.13,22.32,0
37,20.94,22.58,1
16,20.76,22.83,0
75,20.56,23.4,0
82,20.36,23.97,0
72,20.15,24.54,0
53,19.95,25.11,0
13,19.71,26.29,0
41,19.47,27.47,1
53,19.32,27.99,0
76,19.18,28.51,0
9,19.21,28.64,0
66,19.24,28.77,0
12,19.17,29.56,0
29,19.1,30.36,1
37,19.02,31.01,1
8,18.93,31.66,1
55,18.74,31.96,1
9,18.55,32.25,0
41,18.63,31.86,1
31,18.71,31.47,1
80,18.87,30.63,0
7,19.03,29.79,0
13,19.02,29.64,1
42,19,29.5,1
72,19.04,29.16,0
21,19.07,28.81,1
14,19.11,28.47,1
16,19.11,28.2,1
11,19.1,27.92,0
7,19.1,27.65,0
56,19.1,27.38,1
42,18.87,27.66,1
78,18.64,27.93,1
16,18.48,28.11,1
87,18.31,28.29,0
22,18.46,27.32,0
77,18.62,26.36,1
45,18.72,25.4,1
84,18.81,24.45,0
12,19.04,23.14,1
17,19.27,21.83,1
12,19.36,21.06,1
6,19.45,20.29,0
21,19.42,20.58,1
71,19.38,20.88,0
17,19.33,21.33,1
67,19.28,21.78,0
34,19.24,22.22,0
68,19.19,22.67,0
52,19.26,22.7,0
80,19.32,22.74,0
11,19.6,22.42,1
63,19.89,22.11,0
88,20.28,22.04,1
79,20.68,21.97,0
2,21.21,21.44,1
49,21.74,20.9,1
64,22.44,20.58,0
71,23.13,20.27,1
51,23.76,19.5,1
67,24.4,18.73,0
12,25.04,17.96,0
67,25.67,17.2,0
54,26.3,16.43,1
49,26.94,15.66,1
24,27.38,14.2,1
27,27.83,12.75,1
50,28.14,12.24,1
51,28.46,11.74,1
38,28.94,11.29,1
23,29.42,10.84,0
27,29.82,10.43,1
72,30.22,10.02,1
89,30.54,9.84,0
36,30.86,9.65,1
4,31.27,9.33,1
21,31.69,9.01,1
8,32.1,8.7,0
5,32.51,8.38,1
1,32.93,8.06,1
2,33.34,7.74,1
63,33.28,7.15,0
17,33.23,6.56,1
33,33.62,6.36,0
21,34.01,6.17,1
84,34.36,5.97,1
35,34.71,5.77,1
81,35.04,5.66,0
44,35.37,5.56,1
53,35.04,5.48,1
25,34.71,5.41,1
22,35.13,5.28,1
57,35.55,5.14,1
15,35.55,5.13,1
33,35.55,5.12,0
20,36,4.88,0
52,36.46,4.64,0
47,36.39,4.66,0
63,36.33,4.69,0
48,36.33,4.48,0
15,36.32,4.28,1
87,36.32,4.07,1
30,36.31,3.86,1
89,36.53,3.92,0
28,36.76,3.97,0
87,37.06,3.88,0
41,37.36,3.8,1
58,37.69,3.72,1
73,38.02,3.65,0
84,37.6,3.51,0
90,37.17,3.38,1
90,36.66,3.75,0
29,36.15,4.12,1
65,35.44,4.32,0
70,34.72,4.53,0
70,34.78,4.85,1
6,34.85,5.17,0
86,34.93,4.87,0
90,35.01,4.57,0
22,35.45,4.49,1
7,35.89,4.4,1
73,36.3,3.99,0
78,36.71,3.57,0
26,36.77,3.71,1
2,36.83,3.85,0
48,36.7,3.97,1
31,36.56,4.09,1
4,36.36,4.35,1
71,36.15,4.61,0
74,36.2,4.62,0
58,36.25,4.63,0
76,36.12,4.7,0
78,36,4.77,0
5,35.88,4.84,1
8,35.75,4.91,0
31,35.59,4.59,0
30,35.43,4.27,1
58,35.48,4.22,1
28,35.52,4.17,1
19,35.52,4.06,0
26,35.52,3.96,1
51,35.42,3.88,1
4,35.33,3.8,0
80,35.24,3.98,0
68,35.15,4.17,0
8,35.34,4.12,0
53,35.52,4.06,1
